"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-prescription-item.substitution.allowed[x]","fr-lm-prescription-item.substitution.allowed[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
boolean {[]} {[]}","Type de substitution","Type de substitution","","","","","","","","","",,"","jdv-hl7-v3-ActSubstanceAdminSubstitutionCode-cisis (2.16.840.1.113883.1.11.16621)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActSubstanceAdminSubstitutionCode-cisis","",,,,"fr-lm-prescription-item.substitution.allowed[x]",0,1,"",""
"fr-lm-prescription-item.substitution.reason[x]","fr-lm-prescription-item.substitution.reason[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Motif de non substitution (Marge thérapeutique étroite, Enfant forme galénique, Contre-indication formelle).","Motif de non substitution (Marge thérapeutique étroite, Enfant forme galénique, Contre-indication formelle).","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.substitution.reason[x]",0,1,"",""
"fr-lm-prescription-item.numberOfRepeats","fr-lm-prescription-item.numberOfRepeats","","","",0,1,"","","","integer {[]} {[]}
","Nombre de renouvellement(s) possible(s). Non renseigné si pas de limite du nombre de dispensation. '0'=dispensation unique. Le nombre total de dispensation = nombre de renouvellement + 1.","Nombre de renouvellement(s) possible(s). Non renseigné si pas de limite du nombre de dispensation. '0'=dispensation unique. Le nombre total de dispensation = nombre de renouvellement + 1.","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.numberOfRepeats",0,1,"",""
"fr-lm-prescription-item.minimumDispenseInterval","fr-lm-prescription-item.minimumDispenseInterval","","","",0,1,"","","","Quantity {[]} {[]}
","Intervalle minimal de délivrance. Si une ordonnance autorise des délivrances répétées, l'intervalle entre ces délivrances doit être indiqué ici.","Intervalle minimal de délivrance. Si une ordonnance autorise des délivrances répétées, l'intervalle entre ces délivrances doit être indiqué ici.","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.minimumDispenseInterval",0,1,"",""
"fr-lm-prescription-item.offLabel","fr-lm-prescription-item.offLabel","","","",1,1,"","","","Base {[]} {[]}
","Hors AMM. Indique que le prescripteur a sciemment prescrit le médicament pour une indication, un groupe d'âge, une posologie ou une voie d'administration non approuvée par les organismes de réglementation et non mentionnée dans la notice du médicament.","Hors AMM. Indique que le prescripteur a sciemment prescrit le médicament pour une indication, un groupe d'âge, une posologie ou une voie d'administration non approuvée par les organismes de réglementation et non mentionnée dans la notice du médicament.","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.offLabel",1,1,"",""
"fr-lm-prescription-item.offLabel.isOffLabelUse","fr-lm-prescription-item.offLabel.isOffLabelUse","","","",1,1,"","","","boolean {[]} {[]}
","Indique si la prescription est hors AMM. Doit être égal à « true » lorsque la raison est fournie.","Indique si la prescription est hors AMM. Doit être égal à « true » lorsque la raison est fournie.","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.offLabel.isOffLabelUse",1,1,"",""
"fr-lm-prescription-item.offLabel.reason[x]","fr-lm-prescription-item.offLabel.reason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
string {[]} {[]}","Raison de la prescription hors AMM","Raison de la prescription hors AMM","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.offLabel.reason[x]",0,*,"",""
"fr-lm-prescription-item.note","fr-lm-prescription-item.note","","","",0,1,"","","","string {[]} {[]}
","Instructions au dispensateur","Instructions au dispensateur","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.note",0,1,"",""
"fr-lm-prescription-item.enRapportAvecALD","fr-lm-prescription-item.enRapportAvecALD","","","",1,1,"","","","boolean {[]} {[]}
","En rapport avec ALD","En rapport avec ALD","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.enRapportAvecALD",1,1,"",""
"fr-lm-prescription-item.enRapportAvecAccidentTravail","fr-lm-prescription-item.enRapportAvecAccidentTravail","","","",1,1,"","","","boolean {[]} {[]}
","En rapport avec accident travail","En rapport avec accident travail","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.enRapportAvecAccidentTravail",1,1,"",""
"fr-lm-prescription-item.enRapportAvecPrevention","fr-lm-prescription-item.enRapportAvecPrevention","","","",1,1,"","","","boolean {[]} {[]}
","En rapport avec la prevention","En rapport avec la prevention","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.enRapportAvecPrevention",1,1,"",""
"fr-lm-prescription-item.nonRemboursable","fr-lm-prescription-item.nonRemboursable","","","",1,1,"","","","boolean {[]} {[]}
","Non remboursable","Non remboursable","","","","","","","","","",,,,,"",,,,"fr-lm-prescription-item.nonRemboursable",1,1,"",""
